         57347559 function calls (56106207 primitive calls) in 92.745 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 2001/486    0.027    0.000  945.661    1.946 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/image.py:1518(imsave)
 4084/999    0.089    0.000  731.908    0.733 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/image.py:116(_draw_list_compositing_images)
 2047/999    0.042    0.000  449.427    0.450 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axes/_base.py:3145(draw)
 2151/520    0.025    0.000  445.894    0.857 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/PIL/PngImagePlugin.py:1304(_save)
 2107/815    0.006    0.000  413.463    0.507 <frozen genericpath>:84(getsize)
 2164/967    0.017    0.000  398.306    0.412 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/__init__.py:1518(inner)
 2067/486    0.016    0.000  389.556    0.802 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/PIL/Image.py:2469(save)
 2145/565    0.020    0.000  330.525    0.585 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/PIL/ImageFile.py:624(_save)
 1079/389    0.187    0.000  301.416    0.775 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axes/_axes.py:6326(pcolormesh)
6552/2546    0.058    0.000  286.952    0.113 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
2187/1067    0.011    0.000  269.337    0.252 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:3052(max)
3236/1495    0.017    0.000  251.849    0.168 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/numpy/lib/_function_base_impl.py:5117(meshgrid)
 2156/565    0.056    0.000  224.482    0.397 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/PIL/ImageFile.py:652(_encode_tile)
 2182/802    0.007    0.000  169.072    0.211 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/PIL/PngImagePlugin.py:1135(write)
9783/4912    0.007    0.000  159.011    0.032 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/numpy/lib/_function_base_impl.py:5263(<genexpr>)
 2160/855    0.361    0.000  142.935    0.167 {method 'close' of '_io.BufferedRandom' objects}
 1098/488    0.003    0.000  113.620    0.233 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:3190(min)
 1086/506    0.005    0.000  106.061    0.210 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/numpy/ma/core.py:6004(max)
10741/3796    0.103    0.000  105.520    0.028 {built-in method posix.stat}
2176/2144    0.057    0.000   82.508    0.038 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axes/_base.py:1307(__clear)
2172/1184    0.013    0.000   81.193    0.069 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/figure.py:531(add_axes)
2175/1184    0.043    0.000   79.766    0.067 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axes/_base.py:609(__init__)
2175/1187    0.002    0.000   78.619    0.066 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axes/_base.py:1439(clear)
 1086/473    0.005    0.000   74.168    0.157 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/numpy/ma/core.py:5906(min)
 1080/694   46.133    0.043   42.400    0.061 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/collections.py:2418(draw)
10890/4897    0.031    0.000   40.278    0.008 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/PIL/PngImagePlugin.py:1117(putchunk)
 2210/931    0.003    0.000   39.762    0.043 {method 'min' of 'numpy.ndarray' objects}
 2211/994    0.003    0.000   39.265    0.040 {method 'max' of 'numpy.ndarray' objects}
4456/1460    0.008    0.000   35.134    0.024 <frozen genericpath>:16(exists)
232830/128231    0.658    0.000   23.379    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/artist.py:1188(_update_props)
200190/110021    0.050    0.000   23.241    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/artist.py:1226(_internal_update)
 1085/410    0.011    0.000   22.449    0.055 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/collections.py:2395(__init__)
2174/1020    0.022    0.000   22.324    0.022 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/collections.py:78(__init__)
 1086/410    0.004    0.000   21.867    0.053 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/collections.py:2238(set_array)
 1086/410    0.021    0.000   21.855    0.053 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/colorizer.py:539(set_array)
3300/2758    0.009    0.000    7.978    0.003 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/numpy/_core/_methods.py:46(_amin)
68849/59988    6.078    0.000    7.674    0.000 {method 'reduce' of 'numpy.ufunc' objects}
3300/2779    0.013    0.000    6.491    0.002 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/numpy/_core/_methods.py:42(_amax)
 1692/187    0.130    0.000    5.381    0.029 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/backends/backend_agg.py:375(draw)
 1086/503    0.010    0.000    5.260    0.010 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2338(sum)
 2176/490    0.008    0.000    5.116    0.010 /Users/barnaby_platt/PersonalCode/weather/utils.py:12(ensure_dir_exists)
